,status,tld_in_path,tld_in_subdomain,url_length,subdomain_counts,is_https,has_redirects,count_suspicious_chars,is_ip_address,path_length,domain_age,num_digits,num_&,num_?,num_=,num_@,char_repit,num_digits_in_domain,num_dot_domain,num_hyphen_domain
0,1,0,0,37,1,0,0,7,0,11,-1,0,0,0,0,0,0,0,2,0
1,0,0,0,77,0,0,0,7,0,47,5767,17,0,0,0,0,0,0,1,0
2,0,0,1,126,3,1,-1,18,0,20,4004,19,2,1,3,0,0,0,4,1
3,1,0,0,18,1,0,1,5,0,0,-1,0,0,0,0,0,0,0,2,0
4,1,0,0,55,1,0,1,8,0,33,8175,0,0,0,0,0,0,0,2,0
5,0,0,0,32,2,0,-1,7,0,1,-1,0,0,0,0,0,0,0,3,1
6,1,0,0,19,1,0,1,5,0,0,7529,0,0,0,0,0,0,0,2,0
7,0,0,0,81,1,0,0,8,0,47,5767,21,0,0,0,0,0,0,2,0
8,1,0,0,42,1,0,0,6,0,1,7298,0,0,0,0,0,0,0,2,0
9,1,0,0,104,0,1,0,8,0,86,9368,8,0,0,0,0,0,0,1,0
10,1,0,0,56,1,1,0,9,0,26,-1,0,0,0,0,0,0,0,2,0
11,1,0,0,43,1,1,0,6,0,19,7911,8,0,0,0,0,0,0,2,0
12,1,0,0,83,0,1,0,6,0,61,1505,1,0,0,0,0,0,0,1,0
13,0,0,0,31,0,0,1,6,0,14,1761,2,0,0,0,0,0,0,1,0
14,1,0,0,25,1,1,0,6,0,1,2041,0,0,0,0,0,0,0,2,0
15,0,0,0,51,2,0,1,10,0,7,3892,1,0,1,1,0,0,0,3,0
16,1,0,0,31,1,1,0,6,0,1,8301,0,0,0,0,0,0,0,2,0
17,0,0,0,50,1,0,0,8,0,22,2316,3,0,0,0,0,0,0,2,0
18,0,0,0,34,1,0,0,7,0,4,2935,0,0,0,0,0,0,0,2,0
19,1,0,0,27,1,0,0,6,0,1,3932,4,0,0,0,0,0,4,2,0
20,1,0,0,63,2,0,1,11,0,42,8759,0,0,0,0,0,0,0,3,0
21,1,0,0,66,1,1,0,7,0,42,5647,0,0,0,0,0,0,0,2,0
22,0,0,0,40,0,0,0,8,0,22,1184,4,0,0,0,0,0,0,1,0
23,1,0,0,48,0,0,1,6,0,25,3476,0,0,0,0,0,0,0,1,1
24,0,0,1,126,3,0,-1,17,0,19,3993,12,2,1,3,0,0,0,4,1
25,0,0,0,41,1,1,0,6,0,1,7296,0,0,0,0,0,0,0,2,0
26,1,0,0,36,1,1,0,6,0,1,6989,0,0,0,0,0,0,0,2,0
27,1,1,0,72,1,0,1,8,0,41,4845,0,0,0,0,0,0,0,2,2
28,0,0,1,68,3,0,-1,9,0,19,3993,11,0,0,0,0,0,0,4,0
29,0,1,0,163,1,0,1,14,0,32,-1,65,2,0,1,1,0,0,2,0
30,1,0,0,26,1,0,0,6,0,1,1170,0,0,0,0,0,0,0,2,0
31,0,0,0,64,1,0,-1,7,0,40,1237,22,0,0,0,0,0,0,2,0
32,0,0,0,36,3,0,0,8,0,1,5627,9,0,0,0,0,0,9,4,0
33,0,1,0,61,0,0,0,10,0,40,3767,0,0,0,0,0,0,0,1,0
34,1,0,0,66,1,1,1,9,0,15,9316,14,0,1,1,0,0,0,2,0
35,1,0,0,35,1,1,0,6,0,1,7849,0,0,0,0,0,0,0,2,0
36,0,1,0,113,0,0,-1,19,0,82,3920,0,0,0,1,0,0,0,1,0
37,1,0,0,41,1,0,1,5,0,0,5159,0,0,0,0,0,0,0,2,4
38,1,0,0,23,1,0,1,6,0,4,-1,0,0,0,0,0,0,0,2,1
39,1,0,0,31,1,0,0,5,0,0,5230,0,0,0,0,0,0,0,2,1
40,0,0,0,84,0,0,0,10,0,47,3125,0,0,0,0,0,0,0,1,0
41,0,0,0,29,1,0,0,6,0,5,5026,0,0,0,0,0,0,0,2,0
42,0,0,0,98,1,0,1,12,0,65,2300,29,0,0,0,0,0,0,2,1
43,1,0,0,15,0,0,1,4,0,0,2580,0,0,0,0,0,0,0,1,0
44,1,0,0,65,1,0,1,11,0,36,5825,0,0,0,0,0,0,0,2,0
45,0,0,0,131,1,1,0,18,0,87,8019,4,0,1,1,0,0,0,2,1
46,1,0,0,50,1,1,0,7,0,19,7839,0,0,0,0,0,0,0,2,1
47,0,0,0,51,1,0,-1,7,0,12,2306,0,0,0,0,0,0,0,2,0
48,1,0,0,45,1,1,0,9,0,26,-1,6,0,0,0,0,0,0,2,0
49,0,0,0,159,0,0,1,16,0,51,1500,43,1,1,2,0,0,0,1,0
50,0,0,0,44,1,1,1,7,0,14,2739,10,0,0,0,0,0,3,2,0
51,0,0,0,103,1,1,-1,11,0,4,134,8,0,1,1,1,0,0,2,0
52,0,0,0,46,2,0,0,10,0,19,7802,0,0,0,0,0,0,0,3,0
53,1,0,0,45,1,1,0,8,0,21,7133,0,0,0,0,0,0,0,2,0
54,0,0,0,51,2,0,1,9,0,18,1690,0,0,0,0,0,0,0,3,0
55,0,0,0,38,1,0,0,8,0,12,1588,0,0,0,0,0,0,0,2,0
56,0,0,0,81,1,0,0,8,0,47,5767,23,0,0,0,0,0,0,2,0
57,1,1,0,112,1,0,1,7,0,74,7615,0,0,0,0,0,0,0,2,0
58,0,0,0,39,1,1,1,7,0,15,8348,0,0,0,0,0,0,0,2,0
59,0,0,0,99,1,1,0,12,0,76,8348,8,0,0,0,0,0,0,2,0
60,1,0,0,45,1,1,0,6,0,10,6989,0,0,0,0,0,0,0,2,0
61,0,0,0,60,3,0,0,10,0,18,5615,2,0,0,0,0,0,2,4,0
62,1,0,0,74,1,0,1,17,0,48,9327,6,0,0,0,0,0,0,2,0
63,1,0,0,61,1,0,1,8,0,36,3561,0,0,0,0,0,0,0,2,1
64,0,0,0,40,3,1,0,7,0,0,5614,5,0,0,0,0,0,5,4,0
65,0,0,0,52,1,0,1,8,0,21,5408,2,0,0,0,0,0,0,2,0
66,0,1,0,88,2,1,1,14,0,33,8346,0,0,0,0,1,0,0,3,0
67,1,0,0,74,0,0,1,10,0,27,5877,2,0,1,1,0,0,0,1,0
68,1,0,0,46,1,0,1,8,0,23,2633,3,0,0,0,0,0,0,2,0
69,1,0,0,54,1,0,1,8,0,30,6512,0,0,0,0,0,0,0,2,0
70,0,0,0,54,0,0,-1,8,0,26,-1,0,0,0,0,0,0,0,1,1
71,1,0,0,38,1,1,0,8,0,14,7134,0,0,0,0,0,0,0,2,0
72,1,0,0,67,1,0,1,8,0,45,9394,0,0,0,0,0,0,0,2,0
73,0,0,0,62,0,0,-1,13,0,42,5044,0,0,0,0,0,0,0,1,0
74,0,0,0,59,0,0,0,10,0,35,2573,4,0,0,0,0,0,0,1,0
75,0,0,0,57,2,1,0,8,0,11,1246,1,0,0,0,0,0,1,3,0
76,1,0,0,32,0,0,0,6,0,13,2872,0,0,0,0,0,0,0,1,0
77,0,0,0,46,1,0,-1,8,0,14,4537,0,0,0,0,0,0,0,2,0
78,1,0,0,37,1,1,0,7,0,13,7133,0,0,0,0,0,0,0,2,0
79,0,0,0,36,1,0,1,5,0,0,7295,1,0,0,0,0,0,1,2,0
80,0,0,0,52,0,0,1,10,0,27,973,2,0,0,0,0,0,0,1,0
81,0,0,0,32,1,0,0,6,0,1,7296,8,0,0,0,0,0,8,2,0
82,1,0,0,34,0,1,0,5,0,15,7491,0,0,0,0,0,0,0,1,0
83,1,0,0,27,2,0,0,7,0,1,-1,0,0,0,0,0,0,0,3,0
84,0,0,0,92,1,0,-1,11,0,63,-1,28,0,0,0,0,0,0,2,0
85,1,0,0,102,1,0,1,10,0,83,8442,6,0,0,0,0,0,0,2,0
86,1,0,0,32,1,1,0,6,0,1,2277,0,0,0,0,0,0,0,2,0
87,1,0,0,29,1,1,0,6,0,1,1800,0,0,0,0,0,0,0,2,0
88,0,0,0,119,1,0,0,17,0,60,-1,1,0,1,0,0,0,0,2,0
89,1,0,0,59,1,1,1,9,0,30,3952,4,0,0,0,0,0,0,2,0
90,1,0,0,54,0,0,1,6,0,28,4855,0,0,0,0,0,0,0,1,0
91,0,0,0,151,0,0,1,8,0,134,166,41,0,0,0,1,0,0,1,0
92,1,0,0,84,1,0,1,9,0,52,4093,3,0,0,0,0,0,0,2,0
93,0,0,0,55,1,0,-1,10,0,38,-1,0,0,0,0,0,0,0,2,0
94,1,0,0,18,0,1,0,5,0,1,-1,0,0,0,0,0,0,0,1,0
95,1,0,0,39,1,1,0,6,0,15,8516,0,0,0,0,0,0,0,2,0
96,1,0,0,28,1,1,0,6,0,1,7689,0,0,0,0,0,0,0,2,1
97,1,0,0,32,1,0,1,7,0,9,5913,0,0,0,0,0,0,0,2,1
98,1,0,0,16,0,0,1,4,0,0,-1,0,0,0,0,0,0,0,1,0
99,0,0,0,23,0,0,0,6,0,4,4141,0,0,0,0,0,0,0,1,0
100,1,0,0,29,2,0,0,7,0,1,4664,0,0,0,0,0,0,0,3,0
101,0,0,0,29,1,1,-1,6,0,1,317,0,0,0,0,0,0,0,2,0
102,1,0,0,41,1,1,0,7,0,18,4566,0,0,0,0,0,0,0,2,0
103,0,0,0,22,0,1,0,5,0,8,-1,4,0,0,0,0,0,0,1,0
104,0,0,0,52,1,0,-1,10,0,31,657,2,0,0,0,0,0,0,2,0
105,0,0,0,38,1,0,1,10,0,11,-1,1,0,0,0,0,0,0,2,0
106,1,0,0,30,2,1,0,7,0,1,-1,0,0,0,0,0,0,0,3,0
107,0,0,1,76,3,0,-1,9,0,19,3993,8,0,0,0,0,0,0,4,1
108,0,1,1,430,2,0,-1,99,1,10,-1,17,9,2,10,1,0,10,3,0
109,1,0,0,37,1,0,-1,6,0,11,4823,0,0,0,0,0,0,0,2,0
110,1,0,0,73,1,0,1,7,0,43,11046,5,0,0,0,0,0,0,2,0
111,0,0,0,56,1,0,0,11,0,34,2939,6,0,0,0,0,0,0,2,0
112,1,0,0,70,0,1,0,7,0,49,3385,0,0,0,0,0,0,0,1,0
113,0,0,1,70,1,0,0,10,0,43,7802,0,0,0,0,0,0,0,2,0
114,1,0,0,52,1,0,1,8,0,26,-1,4,0,0,0,0,0,0,2,0
115,1,0,0,31,1,1,0,6,0,1,5366,0,0,0,0,0,0,0,2,1
116,0,1,0,90,1,1,1,11,0,63,2112,22,0,0,0,0,0,0,2,0
117,1,1,0,45,1,0,1,9,0,23,7156,7,0,0,0,0,0,0,2,0
118,1,0,0,55,1,0,0,9,0,28,7602,2,0,0,0,0,0,1,2,0
119,0,0,0,65,1,0,-1,10,0,46,135,5,0,0,0,0,0,2,2,0
120,0,0,1,41,1,0,0,6,0,1,1546,3,0,0,0,0,0,3,2,1
121,0,0,0,71,0,1,-1,10,0,26,7,12,0,1,1,0,0,0,1,1
122,0,0,0,83,1,1,0,12,0,46,8348,6,0,1,1,0,0,0,2,0
123,0,0,0,73,0,0,0,7,0,48,-1,25,0,0,0,0,0,0,1,0
124,0,0,0,44,1,0,-1,6,0,7,184,9,0,0,0,0,0,3,2,2
125,0,0,0,114,1,0,-1,16,0,14,2403,6,0,1,1,0,0,0,2,0
126,0,0,1,127,3,1,-1,17,0,19,3992,20,2,1,3,0,0,0,4,1
127,0,0,0,99,1,0,-1,12,0,4,254,7,0,1,1,1,0,0,2,0
128,0,0,0,56,1,0,0,10,0,29,6041,0,0,0,0,0,0,0,2,1
129,1,0,0,51,1,1,1,8,0,26,7284,0,0,0,0,0,0,0,2,0
130,0,0,0,51,1,0,1,10,0,30,-1,0,0,0,0,0,0,0,2,0
131,1,1,0,40,1,1,0,8,0,8,-1,0,0,0,0,0,0,0,2,1
132,0,0,0,33,2,0,0,10,0,12,5111,0,0,0,0,0,0,0,3,0
133,1,1,0,88,1,1,1,9,0,60,8024,0,0,0,0,0,0,0,2,0
134,1,1,0,122,1,1,0,21,0,96,5993,6,0,0,0,0,0,0,2,0
135,1,0,0,53,1,0,1,8,0,26,2684,0,0,0,0,0,0,0,2,0
136,0,0,1,46,5,1,-1,10,0,1,725,4,0,0,0,0,0,4,6,1
137,0,0,0,36,1,0,1,5,0,0,7295,0,0,0,0,0,0,0,2,0
138,1,0,0,31,1,0,0,6,0,1,3754,0,0,0,0,0,0,0,2,0
139,1,0,0,48,1,1,0,9,0,24,5381,0,0,0,0,0,0,0,2,0
140,0,1,0,101,0,1,0,14,0,39,3743,0,2,1,3,0,0,0,1,0
141,1,0,0,41,1,0,0,8,0,15,5416,0,0,0,0,0,0,0,2,0
142,0,0,0,43,3,0,0,8,0,1,1901,4,0,0,0,0,0,4,4,0
143,1,0,0,15,0,0,0,4,0,0,3937,0,0,0,0,0,0,0,1,0
144,1,0,0,42,1,0,1,7,0,25,6668,3,0,0,0,0,0,0,2,0
145,1,0,0,51,0,0,1,6,0,29,4413,0,0,0,0,0,0,0,1,0
146,0,0,0,48,1,0,1,8,0,14,3983,0,0,0,0,0,0,0,2,3
147,1,0,0,49,0,0,0,8,0,23,7732,0,0,0,0,0,0,0,1,0
148,0,0,0,25,0,1,0,7,0,1,2647,0,0,1,1,0,0,0,1,1
149,1,0,0,49,1,1,1,8,0,26,9285,1,0,0,0,0,0,0,2,0
150,1,0,0,48,1,0,1,7,0,16,8047,1,0,0,0,0,0,0,2,0
151,0,1,0,108,1,0,0,14,0,29,531,4,0,1,0,1,0,0,2,0
152,0,0,0,39,0,0,-1,7,0,12,1028,0,0,0,0,0,0,0,1,0
153,1,0,0,80,2,0,1,10,0,53,5334,0,0,0,0,0,0,0,3,0
154,1,0,0,36,1,0,1,6,0,12,7602,0,0,0,0,0,0,0,2,0
155,1,0,0,28,1,1,0,6,0,1,6460,0,0,0,0,0,0,0,2,1
156,0,0,0,33,1,1,0,6,0,11,1953,2,0,0,0,0,0,0,2,0
157,1,0,0,23,2,1,0,7,0,1,-1,0,0,0,0,0,0,0,3,0
158,1,0,0,77,1,1,0,7,0,51,5224,0,0,0,0,0,0,0,2,0
159,0,0,0,342,2,1,0,31,0,315,-1,142,5,0,4,1,0,0,3,0
160,0,0,0,38,1,1,0,6,0,1,189,5,0,0,0,0,0,5,2,1
161,1,0,0,73,1,0,1,7,0,44,6203,0,0,0,0,0,0,0,2,0
162,1,0,0,33,1,1,0,7,0,10,5639,0,0,0,0,0,0,0,2,0
163,0,0,0,67,1,0,0,11,0,43,1785,0,0,0,0,0,0,0,2,0
164,1,0,0,39,1,1,1,7,0,13,6431,2,0,0,0,0,0,0,2,0
165,1,0,0,24,1,1,0,6,0,1,2254,0,0,0,0,0,0,0,2,0
166,1,0,0,26,1,1,0,6,0,1,-1,0,0,0,0,0,0,0,2,0
167,1,0,0,39,0,1,1,9,0,24,9253,5,0,0,0,0,0,0,1,0
168,0,0,0,62,2,0,-1,7,0,33,5825,22,0,0,0,0,0,0,3,1
169,0,0,0,41,0,0,1,7,0,21,1899,0,0,0,0,0,0,0,1,0
170,0,0,0,40,1,1,0,6,0,1,7295,0,0,0,0,0,0,0,2,0
171,1,0,0,51,1,0,1,7,0,18,4120,0,0,0,0,0,0,0,2,1
172,1,0,0,59,1,1,0,9,0,39,3650,4,0,0,0,0,0,0,2,0
173,1,0,0,50,1,1,0,9,0,22,8044,0,0,0,0,0,0,0,2,0
174,0,0,0,52,1,0,0,7,0,20,6831,3,0,0,0,0,0,1,2,1
175,0,1,0,43,0,0,1,7,0,21,3904,0,0,0,0,0,0,0,1,0
176,0,1,1,94,1,0,1,9,0,45,4183,12,0,0,0,0,0,3,2,0
177,1,1,0,60,1,0,1,9,0,38,2403,0,0,0,0,0,0,0,2,0
178,1,0,0,18,0,0,1,4,0,0,-1,0,0,0,0,0,0,0,1,0
179,0,0,0,204,1,1,0,14,0,23,7968,27,0,1,2,0,0,0,2,0
180,0,1,0,94,2,1,1,14,0,43,8346,15,0,0,0,1,0,0,3,0
181,0,0,1,41,3,0,-1,8,0,1,-1,0,0,0,0,0,0,0,4,1
182,0,0,0,19,1,0,1,6,0,1,1154,3,0,0,0,0,0,3,2,0
183,0,0,0,35,0,0,-1,6,0,6,3608,1,0,0,0,0,0,1,1,1
184,0,0,0,63,0,0,0,10,0,30,2870,0,0,0,0,0,0,0,1,0
185,0,0,0,53,1,0,0,9,0,25,5972,4,0,0,0,0,0,0,2,0
